intervention_id,student_id,intervention_date,intervention_type,reason,student_responded,response_time_hours,engagement_improved,attendance_before,attendance_after,grade_before,grade_after
INT0001,STU0009,2025-02-18,SMS,No VLE Activity,True,118,True,71.36,75.48,51,71
INT0002,STU0401,2024-12-30,Phone Call,Declining Grades,False,,False,74.03,72.18,57,53
INT0003,STU0054,2025-02-04,Phone Call,Missed Deadline,False,,False,66.42,63.25,81,87
INT0004,STU0329,2025-02-12,Email,No VLE Activity,False,,True,62.94,66.72,42,47
INT0005,STU0384,2025-01-17,Email,No VLE Activity,False,,False,77.04,69.89,49,46
INT0006,STU0205,2025-03-04,Phone Call,No VLE Activity,True,17,True,57.42,61.12,56,59
INT0007,STU0072,2025-02-05,Email,Low Attendance,True,59,True,72.22,89.37,83,99
INT0008,STU0219,2025-02-02,Phone Call,No VLE Activity,False,,False,90.56,89.32,74,66
INT0009,STU0073,2025-03-04,SMS,Low Attendance,False,,False,61.48,65.34,38,43
INT0010,STU0277,2025-03-02,SMS,Low Attendance,False,,False,71.42,72.87,66,69
INT0011,STU0240,2025-03-09,Email,Declining Grades,False,,False,72.23,73.17,53,52
INT0012,STU0496,2025-02-21,Phone Call,No VLE Activity,True,110,False,57.79,69.08,40,32
INT0013,STU0242,2025-01-08,Phone Call,Missed Deadline,True,6,False,79.94,86.3,86,85
INT0014,STU0011,2025-03-13,Email,No VLE Activity,True,67,True,49.37,54.53,52,64
INT0015,STU0106,2025-01-22,SMS,Missed Deadline,False,,False,68.86,69.46,52,46
INT0016,STU0053,2025-01-16,SMS,Declining Grades,True,145,True,60.29,76.49,23,43
INT0017,STU0268,2025-02-12,Email,Missed Deadline,False,,False,78.16,82.91,81,75
INT0018,STU0081,2025-02-08,SMS,Missed Deadline,True,36,False,65.21,73.79,40,47
INT0019,STU0461,2025-03-03,SMS,Low Attendance,True,133,False,68.22,68.97,54,56
INT0020,STU0392,2025-03-03,SMS,Declining Grades,False,,True,68.2,73.51,43,50
INT0021,STU0328,2025-03-06,Email,Low Attendance,False,,False,64.92,65.21,70,63
INT0022,STU0012,2025-02-12,Phone Call,No VLE Activity,False,,False,66.94,70.77,49,46
INT0023,STU0379,2025-01-13,Phone Call,Declining Grades,True,60,False,66.44,68.66,71,71
INT0024,STU0045,2025-03-22,Email,Low Attendance,True,121,True,67.03,81.91,52,66
INT0025,STU0147,2025-02-14,In-Person Meeting,No VLE Activity,True,122,True,86.2,98.93,75,89
INT0026,STU0296,2025-03-14,In-Person Meeting,No VLE Activity,False,,False,83.61,90.58,49,50
INT0027,STU0457,2025-01-01,Email,Declining Grades,True,70,True,62.0,65.16,32,40
INT0028,STU0396,2025-03-20,Phone Call,Low Attendance,False,,False,65.77,66.25,46,53
INT0029,STU0051,2025-03-12,In-Person Meeting,No VLE Activity,True,120,True,44.07,47.34,29,47
INT0030,STU0284,2025-01-10,SMS,No VLE Activity,True,135,True,53.3,58.74,38,45
INT0031,STU0239,2025-01-26,Phone Call,No VLE Activity,True,75,False,99.26,97.16,82,81
INT0032,STU0374,2024-12-27,Email,No VLE Activity,True,52,True,61.31,76.43,40,58
INT0033,STU0426,2025-03-11,Email,Declining Grades,False,,False,80.75,75.88,37,43
INT0034,STU0392,2025-03-03,Phone Call,Declining Grades,True,36,True,68.2,80.15,43,53
INT0035,STU0345,2025-03-02,In-Person Meeting,Declining Grades,True,80,True,72.03,76.29,56,75
INT0036,STU0358,2025-01-28,Phone Call,No VLE Activity,True,30,False,62.74,56.71,80,80
INT0037,STU0001,2025-01-25,Phone Call,Missed Deadline,False,,False,68.98,68.01,37,35
INT0038,STU0205,2025-01-29,Phone Call,Low Attendance,True,25,False,57.42,54.27,56,52
INT0039,STU0315,2025-01-17,SMS,Missed Deadline,False,,True,64.03,70.12,48,67
INT0040,STU0073,2025-01-18,SMS,Missed Deadline,True,126,True,61.48,66.03,38,45
INT0041,STU0096,2025-01-02,In-Person Meeting,Declining Grades,True,47,True,63.19,76.9,43,58
INT0042,STU0382,2025-01-22,Email,No VLE Activity,False,,False,68.26,64.84,38,33
INT0043,STU0282,2024-12-26,Email,Low Attendance,False,,False,69.17,71.81,42,43
INT0044,STU0018,2025-03-15,SMS,Missed Deadline,False,,False,65.97,67.37,58,57
INT0045,STU0345,2025-02-15,SMS,Low Attendance,False,,False,72.03,68.6,56,54
INT0046,STU0471,2025-03-15,Email,Declining Grades,True,102,True,70.33,78.42,49,68
INT0047,STU0374,2025-01-22,Email,Missed Deadline,True,132,False,61.31,68.73,40,37
INT0048,STU0358,2024-12-29,SMS,Low Attendance,False,,False,62.74,59.83,80,76
INT0049,STU0175,2025-02-25,SMS,No VLE Activity,True,27,True,64.96,79.23,77,87
INT0050,STU0320,2025-02-13,SMS,Low Attendance,True,134,True,41.29,57.36,31,48
INT0051,STU0401,2025-02-17,SMS,No VLE Activity,False,,False,74.03,72.46,57,61
INT0052,STU0159,2025-01-14,In-Person Meeting,Low Attendance,True,155,True,62.09,76.41,42,55
INT0053,STU0316,2025-03-08,Phone Call,Missed Deadline,False,,True,85.66,90.56,80,97
INT0054,STU0372,2024-12-25,SMS,No VLE Activity,True,64,False,61.23,64.0,64,60
INT0055,STU0201,2025-01-12,SMS,Missed Deadline,False,,False,70.25,69.51,65,72
INT0056,STU0070,2025-01-14,Email,Declining Grades,False,,False,57.37,49.66,55,59
INT0057,STU0346,2025-03-22,Phone Call,Declining Grades,True,88,True,78.26,89.01,69,82
INT0058,STU0172,2025-02-06,In-Person Meeting,Missed Deadline,True,112,True,71.85,81.26,75,84
INT0059,STU0328,2025-01-12,Email,Missed Deadline,True,112,True,64.92,70.92,70,75
INT0060,STU0366,2025-02-15,In-Person Meeting,Low Attendance,True,110,False,83.43,79.72,61,62
INT0061,STU0106,2025-03-16,Phone Call,Low Attendance,False,,False,68.86,66.27,52,51
INT0062,STU0154,2025-01-26,Email,Low Attendance,True,30,True,66.72,73.22,52,64
INT0063,STU0287,2025-01-01,Email,Missed Deadline,True,19,True,69.95,84.12,41,46
INT0064,STU0063,2025-03-09,SMS,Low Attendance,False,,False,64.35,66.78,41,38
INT0065,STU0045,2025-01-08,Phone Call,Missed Deadline,False,,False,67.03,66.3,52,56
INT0066,STU0125,2025-01-18,Phone Call,Missed Deadline,False,,False,78.41,77.03,51,49
INT0067,STU0123,2025-02-27,Phone Call,Missed Deadline,False,,False,76.2,73.54,33,28
INT0068,STU0018,2025-02-03,Phone Call,Missed Deadline,True,67,True,65.97,70.4,58,74
INT0069,STU0013,2025-03-12,Email,Low Attendance,False,,False,90.05,87.34,66,73
INT0070,STU0325,2025-01-29,Email,Low Attendance,False,,False,65.8,72.73,79,82
INT0071,STU0157,2025-02-13,Phone Call,Missed Deadline,False,,True,81.01,87.09,73,87
INT0072,STU0291,2025-01-07,In-Person Meeting,Low Attendance,True,131,True,88.63,100.0,76,86
INT0073,STU0305,2025-01-29,Email,Missed Deadline,False,,False,66.54,68.74,56,63
INT0074,STU0314,2025-02-14,Phone Call,Declining Grades,True,95,False,70.62,75.47,54,55
INT0075,STU0062,2025-01-24,SMS,Missed Deadline,True,94,True,54.58,68.01,34,47
INT0076,STU0131,2025-02-08,Email,No VLE Activity,True,55,True,66.4,80.91,48,60
INT0077,STU0051,2025-01-23,SMS,Declining Grades,False,,False,44.07,46.05,29,35
INT0078,STU0390,2025-03-20,Phone Call,Missed Deadline,True,32,True,82.94,88.84,93,100
INT0079,STU0365,2025-01-02,Email,Missed Deadline,False,,False,79.62,77.67,49,50
INT0080,STU0311,2025-03-09,SMS,Low Attendance,False,,False,74.86,69.1,44,39
INT0081,STU0293,2025-01-16,Phone Call,Missed Deadline,True,6,True,64.93,73.49,77,96
INT0082,STU0477,2025-01-12,SMS,Missed Deadline,True,119,True,54.77,67.41,44,52
INT0083,STU0497,2025-01-05,In-Person Meeting,No VLE Activity,False,,True,55.52,64.13,37,43
INT0084,STU0070,2025-03-18,Email,No VLE Activity,True,45,False,57.37,60.83,55,59
INT0085,STU0251,2024-12-27,SMS,Declining Grades,False,,False,84.03,82.68,81,81
INT0086,STU0282,2025-02-11,Email,No VLE Activity,False,,False,69.17,73.66,42,50
INT0087,STU0073,2024-12-25,SMS,No VLE Activity,True,38,False,61.48,64.9,38,31
INT0088,STU0451,2025-01-01,Email,Low Attendance,False,,False,67.38,68.4,42,36
INT0089,STU0214,2025-03-09,Email,Declining Grades,True,152,True,85.63,100.0,77,87
INT0090,STU0188,2025-01-05,Email,No VLE Activity,False,,False,71.04,75.85,44,43
INT0091,STU0367,2025-02-08,In-Person Meeting,No VLE Activity,False,,False,69.82,75.18,50,58
INT0092,STU0451,2025-01-12,Phone Call,Declining Grades,True,2,True,67.38,79.23,42,47
INT0093,STU0054,2025-01-28,Phone Call,Missed Deadline,True,59,False,66.42,68.64,81,82
INT0094,STU0481,2025-03-12,Phone Call,No VLE Activity,False,,False,71.48,72.17,44,41
INT0095,STU0274,2024-12-23,In-Person Meeting,Missed Deadline,True,34,True,47.81,63.38,43,63
INT0096,STU0266,2025-01-24,SMS,Low Attendance,True,156,True,71.27,88.5,49,60
INT0097,STU0049,2025-01-30,Email,Low Attendance,False,,False,61.89,64.29,67,65
INT0098,STU0237,2025-03-09,Email,No VLE Activity,True,59,False,79.14,71.32,75,72
INT0099,STU0030,2025-02-10,SMS,Low Attendance,True,140,True,79.16,86.16,74,91
INT0100,STU0275,2025-02-11,Email,No VLE Activity,True,92,True,70.21,86.95,53,60
INT0101,STU0060,2025-02-26,SMS,No VLE Activity,False,,True,62.18,74.39,46,67
INT0102,STU0088,2025-01-12,SMS,Declining Grades,False,,False,80.2,78.15,70,74
INT0103,STU0374,2025-03-17,Email,Low Attendance,False,,True,61.31,65.35,40,58
INT0104,STU0410,2025-02-05,Email,Low Attendance,True,136,True,58.74,72.98,34,53
INT0105,STU0311,2025-02-20,In-Person Meeting,Declining Grades,True,31,True,74.86,84.97,44,58
INT0106,STU0247,2025-02-15,Email,Low Attendance,True,135,False,81.38,77.37,46,44
INT0107,STU0422,2025-03-01,Phone Call,Missed Deadline,False,,False,71.82,70.34,51,57
INT0108,STU0305,2025-03-02,Phone Call,Missed Deadline,True,139,True,66.54,84.34,56,67
INT0109,STU0422,2025-03-01,Email,No VLE Activity,True,116,True,71.82,77.88,51,56
INT0110,STU0451,2025-01-06,Email,Declining Grades,True,115,True,67.38,77.47,42,46
INT0111,STU0447,2025-02-19,Email,Missed Deadline,True,59,True,82.37,85.44,62,80
INT0112,STU0349,2025-01-06,Email,Declining Grades,False,,False,77.3,71.05,52,49
INT0113,STU0054,2025-02-14,Phone Call,No VLE Activity,False,,False,66.42,72.03,81,78
INT0114,STU0045,2025-02-23,Email,No VLE Activity,True,101,True,67.03,70.42,52,60
INT0115,STU0422,2025-02-14,SMS,Missed Deadline,False,,False,71.82,67.26,51,48
INT0116,STU0012,2025-03-22,Phone Call,Declining Grades,True,139,True,66.94,79.86,49,68
